State,Abbreviation,Statehood,Capital,Area,Municipal,Metropolitan,Note
Alabama,AL,1819,Montgomery,155.4,"205,764","374,536",Birmingham is the state's largest city.
Alaska,AK,1959,Juneau,2716.7,"31,275",,Largest capital by municipal land area. Anchorage is the state's largest city.
Arizona,AZ,1912,Phoenix,474.9,"144,563","4,192,887",Most populous U.S. state capital and the only capital with more than 1 million citizens.
Arkansas,AR,1836,Little Rock,116.2,"193,524","877,091",
California,CA,1850,Sacramento,97.2,"466,488","2,527,123",Supreme Court of California is headquartered in San Francisco. The state's largest city is Los Angeles.
Colorado,CO,1876,Denver,153.4,"600,158","2,552,195",Denver was called Denver City until 1882.
Connecticut,CT,1788,Hartford,17.3,"124,775","1,212,381","Bridgeport is the state's largest city, Hartford, however, is the state's largest Metro area"
Delaware,DE,1787,Dover,22.4,"36,047","162,310",Longest-serving capital in terms of statehood. Wilmington is the state's largest city.
Florida,FL,1845,Tallahassee,95.7,"181,412","367,413",Jacksonville is the largest city. Miami is the largest metropolitan area.
Georgia,GA,1788,Atlanta,131.7,"420,003","5,268,860",State capital with the most populous metro area in the U.S.
Hawaii,HI,1959,Honolulu,85.7,"337,256","953,207",
Idaho,ID,1890,Boise,63.8,"205,671","616,561",
Illinois,IL,1818,Springfield,54,"116,250","208,182",Chicago is the state's largest city.
Indiana,IN,1816,Indianapolis,361.5,"829,718","1,756,221",
Iowa,IA,1846,Des Moines,75.8,"203,433","580,255",
Kansas,KS,1861,Topeka,56,"127,473","230,824","Wichita is the state's largest city, and Kansas City, Missouri is the largest metropolitan area."
Kentucky,KY,1792,Frankfort,14.7,"25,527","70,758",Louisville is the state's largest city.
Louisiana,LA,1812,Baton Rouge,76.8,"229,553","802,484","New Orleans is the state's largest city and home to the Louisiana Supreme Court, although Baton Rouge is located in the state's most populous parish. It is also home to the tallest state capitol building."
Maine,ME,1820,Augusta,55.4,"19,136","117,114",Portland is the state's largest city.
Maryland,MD,1788,Annapolis,6.73,"38,394",,Smallest capital by land area. Baltimore is the state's largest city and county. Capitol building is the oldest in the U.S. still in use.
Massachusetts,MA,1788,Boston,48.4,"617,594","4,522,858",Longest continuously serving capital in the U.S.
Michigan,MI,1837,Lansing,35,"114,297","464,036",Only state capital that is not also its county seat (not counting the two state capitals that are independent cities and not located in any county). Detroit is the state's largest city.
Minnesota,MN,1858,Saint Paul,52.8,"300,851","3,502,891","Capital's twin city, Minneapolis, is the state's largest. The two form the core of the state's Largest Metro Area."
Mississippi,MS,1817,Jackson,104.9,"173,514","539,057","Only state capital that shares its status as county seat with another city (Raymond, Mississippi)."
Missouri,MO,1821,Jefferson City,27.3,"43,079","149,807","Kansas City is the state's largest city, and Greater St. Louis is the state's largest metropolitan area."
Montana,MT,1889,Helena,14,"28,190","74,801",Billings is the state's largest city.
Nebraska,NE,1867,Lincoln,74.6,"258,379","302,157","Omaha is the state's largest city. It shares the largest metro area with Council Bluffs, Iowa."
Nevada,NV,1864,Carson City,143.4,"55,274",,One of two independent cities that serves as a state capital. Las Vegas is the state's largest city. It shares the largest metro area with Paradise.
New Hampshire,NH,1788,Concord,64.3,"42,695",,Manchester is the state's largest city.
New Jersey,NJ,1787,Trenton,7.66,"84,913","366,513","Served as the U.S. capital for a short period in the late 18th century. Newark is the state's largest city, although Trenton is the center of the largest Metropolitan Statistical Area centered in New Jersey."
New Mexico,NM,1912,Santa Fe,37.3,"75,764","183,732",Longest serving capital in the United States. Highest elevation of any state capital. Albuquerque is the state's largest city.
New York,NY,1788,Albany,21.4,"97,856","857,592",New York City is the state's largest city.
North Carolina,NC,1789,Raleigh,114.6,"403,892","1,130,490",Charlotte is the state's largest city.
North Dakota,ND,1889,Bismarck,26.9,"61,272","108,779",Fargo is the state's largest city.
Ohio,OH,1803,Columbus,210.3,"822,553","1,967,066","Third-largest state capital; however, the Cincinnati and Cleveland metropolitan areas are both slightly larger."
Oklahoma,OK,1907,Oklahoma City,607,"580,000","1,252,987",Shortest serving current state capital.
Oregon,OR,1859,Salem,45.7,"154,637","390,738",Portland is the state's largest city.
Pennsylvania,PA,1787,Harrisburg,8.11,"49,528","647,390",Philadelphia is the state's largest city.
Rhode Island,RI,1790,Providence,18.5,"178,042","1,630,956","Also served as the state's capital from 1636-1686 and 1689-1776. It was one of five co-capitals 1776-1853, and one of two co-capitals 1853-1900."
South Carolina,SC,1788,Columbia,125.2,"131,686","913,797","Charleston is the state's largest city, while Greenville is the Largest Metro area."
South Dakota,SD,1889,Pierre,13,"13,646",,Sioux Falls is the state's largest city.
Tennessee,TN,1796,Nashville,473.3,"635,710","1,582,264","Memphis is the state's largest city, although Nashville is the largest metro area."
Texas,TX,1845,Austin,251.5,"790,390","1,716,291","Houston is the state's largest city and the previous capital, and Dallas-Fort Worth is the largest metro area. Austin is the largest state capital that is not also the state's largest city by population."
Utah,UT,1896,Salt Lake City,109.1,"186,440","1,124,197",
Vermont,VT,1791,Montpelier,10.2,"7,855",,Least populous U.S. state capital. Burlington is the state's largest city.
Virginia,VA,1788,Richmond,60.1,"204,214","1,231,675","Virginia Beach and Norfolk are the state's largest cities, and Hampton Roads is the state's largest metro area based in the state. Richmond is one of two independent cities that serves as a state capital. Although Richmond is the county seat of Henrico County, it is not part of the county."
Washington,WA,1889,Olympia,16.7,"46,478","234,670",Seattle is the state's largest city.
West Virginia,WV,1863,Charleston,31.6,"51,400","304,214",Charleston is the smallest capital city that is still the most populous city in its state. Huntington has the largest metropolitan area.
Wisconsin,WI,1848,Madison,68.7,"233,209","561,505",Milwaukee is the state's largest city.
Wyoming,WY,1890,Cheyenne,21.1,"59,466","91,738",